SL NO:,Dept. Name,Audit Unit Name,Period of last Audit,PARA NO. ,Audit Office,Para_ID,Para Subject,Observation Category Description,Observation Category,IIA/IIB,Monetory Amount,Recovery Amount,IR Despatch Date,Stage,Status,Query raised by,Query date,Response,Response date,Rejoinder date,Resource,File Type
343,H&FW,Administrative Medical Officer K R Puram Bangalore,2015-16,III/IIB/2013-14,GSA,2210HFW_AU0185_2013-14_IIB_02,Non occupation of quarters designated to doctors and quarters remaining vacant,, J,IIB,,,27.01.17,,,,27.01.17,,10.01.2018,Informatory filed,,
344,H&FW,Administrative Medical Officer K R Puram Bangalore,2015-16,IV/IIB/2013-14,GSA,2210HFW_AU0185_2013-14_IIB_03,"Non remittance of interest amount Rs.56,830/-",, J,IIB,,,27.01.17,,,,27.01.17,,10.01.2018,Informatory filed,,
345,H&FW,Administrative Medical Officer K R Puram Bangalore,2015-16,V/IIB/2013-14,GSA,2210HFW_AU0185_2013-14_IIB_04,Engagement of service withput proper sgreement/contract:i)waste management ii)Diet,, F,IIB,,,27.01.17,,,,27.01.17,,10.01.2018,Informatory filed,,
346,H&FW,Administrative Medical Officer K R Puram Bangalore,2015-16,VII/IIB/2013-14,GSA,2210HFW_AU0185_2013-14_IIB_05,Non production of Karnataka state drugs logistics and warehousing society (KSDL&WS) Pass book,, J,IIB,,,27.01.17,,,,27.01.17,,10.01.2018,Informatory filed,,
347,H&FW,Administrative Medical Officer K R Puram Bangalore,2015-16,VIII/IIB/2013-14,GSA,2210HFW_AU0185_2013-14_IIB_06,Incorrect sanction of leave encashment,, B,IIB,,,27.01.17,,,,27.01.17,,10.01.2018,Informatory filed,,
348,H&FW,Administrative Medical Officer K R Puram Bangalore,2015-16,IX/IIB/2013-14,GSA,2210HFW_AU0185_2013-14_IIB_07,Non disposal of  linen items,, J,IIB,,,27.01.17,,,,27.01.17,,10.01.2018,Informatory filed,,
349,H&FW,Administrative Medical Officer K R Puram Bangalore,2015-16,XII/IIB/2013-14,GSA,2210HFW_AU0185_2013-14_IIB_08,Non condemnation of articles obsoletes surplas or unserviceable,, J,IIB,,,27.01.17,,,,27.01.17,,10.01.2018,Informatory filed,,
350,H&FW,Administrative Medical Officer K R Puram Bangalore,2015-16,XIII/IIB/2013-14,GSA,2210HFW_AU0185_2013-14_IIB_09,Non-maitenance of separate stock accounts or investemets of Dead sock ,, J,IIB,,,27.01.17,,,,27.01.17,,10.01.2018,Informatory filed,,
351,H&FW,Administrative Medical Officer K R Puram Bangalore,2015-16,XV/IIB/2013-14,GSA,2210HFW_AU0185_2013-14_IIB_10,Non production of records pertaining to clinical fees,, J,IIB,,,27.01.17,,,,27.01.17,,10.01.2018,Informatory filed,,
352,H&FW,Administrative Medical Officer K R Puram Bangalore,2015-16,II/IIB/2014-15,GSA,2210HFW_AU0185_2014-15_IIB_01,Improper maintenance of General Cash book: Non inclusion of salary in cash book.,,J,IIB,,,27.01.17,,,,27.01.17,,10.01.2018,Informatory filed,,
353,H&FW,Administrative Medical Officer K R Puram Bangalore,2015-16,III/IIB/2014-15,GSA,2210HFW_AU0185_2014-15_IIB_02,Idle Medical  Equipments-X-ray machine and physiotherapy equipments.,,G,IIB,,,27.01.17,,,,27.01.17,,10.01.2018,Informatory filed,,
354,H&FW,Administrative Medical Officer K R Puram Bangalore,2015-16,I/IIB/2015-16,GSA,2210HFW_AU0185_2015-16_IIB_01,"Avoidable recurring expenditure towards power factor (PF) penalty- Rs. 2.53 lakh and Avoidable expenditure of interest on Electricity bills-Rs. 26,453/-",,E,IIB,,,27.01.17,,,,27.01.17,,10.01.2018,Informatory filed,,
355,H&FW,Administrative Medical Officer K R Puram Bangalore,2015-16,II/IIB/2015-16,GSA,2210HFW_AU0185_2015-16_IIB_02,Difference in closing  balance of Rs. 244026/-,,J,IIB,,,27.01.17,,,,27.01.17,,10.01.2018,Informatory filed,,
356,H&FW,Administrative Medical Officer K R Puram Bangalore,2015-16,III/IIB/2015-16,GSA,2210HFW_AU0185_2015-16_IIB_03,Non-renewal of Fitness certificate for vehicle ambulance,,,IIB,,,27.01.17,,,,27.01.17,,10.01.2018,Informatory filed,,
357,H&FW,Administrative Medical Officer K R Puram Bangalore,2015-16,IV/IIB/2015-16,GSA,2210HFW_AU0185_2015-16_IIB_04,Non  disposal of unserviceable article.,,J,IIB,,,27.01.17,,,,27.01.17,,10.01.2018,Informatory filed,,
358,H&FW,"The District Surgeon, District Hospital, Madikere", 2016-17,I/IIB/2012-13,GSA,2210HFW_AU0203_2012-13_IIB_01,"Non recovery of one percent Labour cess on the civil works Rs.89,607/-",, J,IIB,,,15.05.17,,,,15.05.17,,R.N.R.,R.N.I.,,
359,H&FW,"The District Surgeon, District Hospital, Madikere", 2016-17,II/IIB/2012-13,GSA,2210HFW_AU0203_2012-13_IIB_02,Outstanding dues (Rs. 2.88 Lakh) from Nursing college for availing clinical training facility ,, B,IIB,,,15.05.17,,,,15.05.17,,R.N.R.,R.N.I.,,
360,H&FW,"The District Surgeon, District Hospital, Madikere", 2016-17,IV/IIB/2010-11 to 2012-13,GSA,2210HFW_AU0203_2010-13_IIB_01,Non-deduction of Income tax at source of 1.71.885/- from the payment made to contractor,, B,IIB,,,15.05.17,,,,15.05.17,,R.N.R.,R.N.I.,,
361,H&FW,"The District Surgeon, District Hospital, Madikere", 2016-17,IV/IIB/2013-16,GSA,2210HFW_AU0203_2013-16_IIB_01,Irregular payment of salary of DEO incharge of telemedicine unit.,,B,IIB,,,15.05.17,,,,15.05.17,,R.N.R.,R.N.I.,,
362,H&FW,"The District Surgeon, District Hospital, Madikeri", 2016-17,V/IIB/2013-16,GSA,2210HFW_AU0203_2013-16_IIB_02,Irregular sanction of 10 years ime Bound  Advancement Increment twice in a service.,,B,IIB,,,15.05.17,,,,15.05.17,,R.N.R.,R.N.I.,,
363,H&FW,"The District Surgeon, District Hospital, Madikeri", 2016-17,IX/IIB/2013-16,GSA,2210HFW_AU0203_2013-16_IIB_03,ARS Short remittance of cash ,,J,IIB,,,15.05.17,,,,15.05.17,,R.N.R.,R.N.I.,,
364,H&FW,"The District Surgeon, District Hospital, Madikere", 2016-17,I/IIB/2015-16,GSA,2210HFW_AU0203_2015-16_IIB_01,Non-installation of Solar Water Heating Systems at Hospital.,,I,IIB,,,15.05.17,,,,15.05.17,,R.N.R.,R.N.I.,,
365,H&FW,"The District Surgeon, District Hospital, Madikere", 2016-17,IV/IIB/2015-16,GSA,2210HFW_AU0203_2015-16_IIB_02,Non recruitment of Group ‘D’ staff,,J,IIB,,,15.05.17,,,,15.05.17,,R.N.R.,R.N.I.,,
366,H&FW,"The District Surgeon, District Hospital, Madikere", 2016-17,V/IIB/2015-16,GSA,2210HFW_AU0203_2015-16_IIB_03,Review of log-books of vehicles.,,J,IIB,,,15.05.17,,,,15.05.17,,R.N.R.,R.N.I.,,
367,H&FW,"The District Surgeon, District Hospital, Madikere", 2016-17,VI/IIB/2015-16,GSA,2210HFW_AU0203_2015-16_IIB_04,"Non remittance of interest of Rs. 1,13,650/-",,J,IIB,,,15.05.17,,,,15.05.17,,R.N.R.,R.N.I.,,
368,H&FW,"The District Surgeon, District Hospital, Madikere", 2016-17,VII/IIB/2015-16,GSA,2210HFW_AU0203_2015-16_IIB_05,Non compliance to Karnataka State Pollution Control board.,,F,IIB,,,15.05.17,,,,15.05.17,,R.N.R.,R.N.I.,,
369,H&FW,"The District Surgeon, District Hospital, Madikeri", 2016-17,IX/IIB/2015-16,GSA,2210HFW_AU0203_2015-16_IIB_06,Non adherence to purchases Procedure under JSSK Scheme.,,F,IIB,,,15.05.17,,,,15.05.17,,R.N.R.,R.N.I.,,
370,H&FW,"The District Surgeon, District Hospital, Madikeri", 2016-17,I/IIB/2016-17,GSA,2210HFW_AU0203_2016-17_IIB_01,Avoidable payment of Power Factor Penalty – Rs. 2.39 lakh.,,D,IIB,,,15.05.17,,,,15.05.17,,R.N.R.,R.N.I.,,
371,H&FW,"The District Surgeon, District Hospital, Madikeri", 2016-17,II/IIB/2016-17,GSA,2210HFW_AU0203_2016-17_IIB_02,Bio-medical waste Management,,J,IIB,,,15.05.17,,,,15.05.17,,R.N.R.,R.N.I.,,
372,H&FW,"The District Surgeon, District Hospital, Madikeri", 2016-17,III/IIB/2016-17,GSA,2210HFW_AU0203_2016-17_IIB_03,Non entering into Annual  Maintenance worth Rs. 1.83 crore,,E,IIB,,,15.05.17,,,,15.05.17,,R.N.R.,R.N.I.,,
373,H&FW,"The District Surgeon, District Hospital, Madikeri", 2016-17,IV/IIB/2016-17,GSA,2210HFW_AU0203_2016-17_IIB_04,Inadequacies noticed in r.o functioning  of Telemedicine Unit.,,J,IIB,,,15.05.17,,,,15.05.17,,R.N.R.,R.N.I.,,
374,H&FW,"The District Surgeon, District Hospital, Madikeri", 2016-17,V/IIB/2016-17,GSA,2210HFW_AU0203_2016-17_IIB_05,Under utilization of User fee for Developmental purpose.,,I,IIB,,,15.05.17,,,,15.05.17,,R.N.R.,R.N.I.,,
375,H&FW,"The District Surgeon, District Hospital, Madikeri", 2016-17,VI/IIB/2016-17,GSA,2210HFW_AU0203_2016-17_IIB_06,Non disposal of used X-ray films and Hypo Solutions.,,J,IIB,,,15.05.17,,,,15.05.17,,R.N.R.,R.N.I.,,
376,H&FW,"The District Surgeon, District Hospital, Madikeri", 2016-17,VII/IIB/2016-17,GSA,2210HFW_AU0203_2016-17_IIB_07,Equipment kept Idle.,,G,IIB,,,15.05.17,,,,15.05.17,,R.N.R.,R.N.I.,,
377,H&FW,"The District Surgeon, District Hospital, Madikeri", 2016-17,VIII/IIB/2016-17,GSA,2210HFW_AU0203_2016-17_IIB_08,Sub standard drugs and expiry drugs not replaced.,,E,IIB,,,15.05.17,,,,15.05.17,,R.N.R.,R.N.I.,,
378,H&FW,"District Surgeon, District Level Govt. Hospital,Shikaripura Shimoga", 2014-15,II/IIB/2004-05 to 2005-06,GSA,2210HFW_AU0053_2004-06_IIB_01,Missing zoom microscope Rs.78000/- ,, J,IIB,,,,,,,,,RNR,RNI,,
379,H&FW,"District Surgeon, District Level Govt. Hospital,Shikaripura Shimoga", 2014-15,III/IIB/2006-12,GSA,2210HFW_AU0053_2006-12_IIB_01,Splitting of the purchase order to avoid the tender process.,, F,IIB,,,,,,,,,RNR,RNI,,
380,H&FW,"District Surgeon, District Level Govt. Hospital,Shikaripura Shimoga", 2014-15,IV/IIB/2006-12,GSA,2210HFW_AU0053_2006-12_IIB_02,"Emergency/special allowance not recovered during the period of leave - Rs. 1,96,425/-",, B,IIB,,,,,,,,,RNR,RNI,,
381,H&FW,"District Surgeon, District Level Govt. Hospital,Shikaripura Shimoga", 2014-15,XII/IIB/2006-12,GSA,2210HFW_AU0053_2006-12_IIB_03,Service Verification,, J,IIB,,,,,,,,,RNR,RNI,,
382,H&FW,"District Surgeon, District Level Govt. Hospital,Shikaripura Shimoga", 2014-15,III/IIB/2012-13,GSA,2210HFW_AU0053_2012-13_IIB_01,Splitting of purchase order to avoid the Tender process,, F,IIB,,,,,,,,,RNR,RNI,,
383,H&FW,"District Surgeon, District Level Govt. Hospital,Shikaripura Shimoga", 2014-15,IV/IIB/2012-13,GSA,2210HFW_AU0053_2012-13_IIB_02,Rashtriya Swasthya Bima Yojane (RSBY) – Non maintenance of Cash Book,, J,IIB,,,,,,,,,RNR,RNI,,
384,H&FW,"District Surgeon, District Level Govt. Hospital,Shikaripura Shimoga", 2014-15,V/IIB/2012-13,GSA,2210HFW_AU0053_2012-13_IIB_03,"Excess payment on unutilized K.V.A Rs. 1,33,000",, E,IIB,,,,,,,,,RNR,RNI,,
385,H&FW,"District Surgeon, District Level Govt. Hospital,Shikaripura Shimoga", 2014-15,VI/IIB/2012-13,GSA,2210HFW_AU0053_2012-13_IIB_04,"Non-remittance of Government dues - Rs. 20,727/-.",, J,IIB,,,,,,,,,RNR,RNI,,
386,H&FW,"District Surgeon, District Level Govt. Hospital,Shikaripura Shimoga", 2014-15,I/IIB/2013-14,GSA,2210HFW_AU0053_2013-14_IIB_01,Non utilization of funds under NCD and diversion of funds,, I,IIB,,,,,,,,,RNR,RNI,,
387,H&FW,"District Surgeon, District Level Govt. Hospital,Shikaripura Shimoga", 2014-15,II/IIB/2013-14,GSA,2210HFW_AU0053_2013-14_IIB_02,Irregular drawal of salary for doctors.,, B,IIB,,,,,,,,,RNR,RNI,,
388,H&FW,"District Surgeon, District Level Govt. Hospital,Shikaripura Shimoga", 2014-15,III/IIB/2013-14,GSA,2210HFW_AU0053_2013-14_IIB_03,Non updating of NRHM Cash Book,, J,IIB,,,,,,,,,RNR,RNI,,
389,H&FW,"District Surgeon, District Level Govt. Hospital,Shikaripura Shimoga", 2014-15,IV/IIB/2013-14,GSA,2210HFW_AU0053_2013-14_IIB_04,Non Disposal of condemned articles,, J,IIB,,,,,,,,,RNR,RNI,,
390,H&FW,"District Surgeon, District Level Govt. Hospital,Shikaripura Shimoga", 2014-15,VI/IIB/2013-14,GSA,2210HFW_AU0053_2013-14_IIB_05,Non obtaining of certificate from Atomic Energy Regulatory Board.,, J,IIB,,,,,,,,,RNR,RNI,,
391,H&FW,"District Surgeon, District Level Govt. Hospital,Shikaripura Shimoga", 2014-15,VII/IIB/2013-14,GSA,2210HFW_AU0053_2013-14_IIB_06,Irregular claim of Emergency Allowance & Special Allowance-Rs. 18289/-,, B,IIB,,,,,,,,,RNR,RNI,,
392,H&FW,"District Surgeon, District Level Govt. Hospital,Shikaripura Shimoga", 2014-15,VIII/IIB/2013-14,GSA,2210HFW_AU0053_2013-14_IIB_07,Idle machineries.,, G,IIB,,,,,,,,,RNR,RNI,,
393,H&FW,"District Surgeon, District Level Govt. Hospital,Shikaripura Shimoga", 2014-15,I/IIB/2014-15,GSA,2210HFW_AU0053_2014-15_IIB_01,Non remittance of ‘User Charges’ into the Consolidated fund  of  the State – Rs. 73.89 lakh.,,J,IIB,,,,,,,,,RNR,RNI,,
394,H&FW,"District Surgeon, District Level Govt. Hospital,Shikaripura Shimoga", 2014-15,II/IIB/2014-15,GSA,2210HFW_AU0053_2014-15_IIB_02,Non-supply of DIET food to ‘Inpatients’.,,I,IIB,,,,,,,,,RNR,RNI,,
395,H&FW,"District Surgeon, District Level Govt. Hospital,Shikaripura Shimoga", 2014-15,III/IIB/2014-15,GSA,2210HFW_AU0053_2014-15_IIB_03,"Payment towards disposal of Bio-Medical waste Rs. 1,98,979/-",,E,IIB,,,,,,,,,RNR,RNI,,
396,H&FW,"District Surgeon, District Level Govt. Hospital,Shikaripura Shimoga", 2014-15,IV/IIB/2014-15,GSA,2210HFW_AU0053_2014-15_IIB_04,Non-reconciliation of Scheme Cash book and Bank pass book.,,J,IIB,,,,,,,,,RNR,RNI,,
397,H&FW,"District Surgeon, District Level Govt. Hospital, Shikaripura Shimoga", 2014-15,V/IIB/2014-15,GSA,2210HFW_AU0053_2014-15_IIB_05,"Non-remittance of Bank interest: Rs. 6,42,846/-",,J,IIB,,,,,,,,,RNR,RNI,,
398,H&FW,"District Surgeon, District Level Govt. Hospital,Shikaripura Shimoga", 2014-15,VI/IIB/2014-15,GSA,2210HFW_AU0053_2014-15_IIB_06,Idle Tread Mill costing Rs. 2.38 lakh.,,G,IIB,,,,,,,,,RNR,RNI,,
399,H&FW,"District Surgeon, District Level Govt. Hospital,Shikaripura Shimoga", 2014-15,VII/IIB/2014-15,GSA,2210HFW_AU0053_2014-15_IIB_07,Non-occupancy of Quarters and seepage of drainage water. ,,J,IIB,,,,,,,,,RNR,RNI,,
400,H&FW,"District Surgeon, District Level Govt. Hospital,Shikaripura Shimoga", 2014-15,VIII/IIB/2014-15,GSA,2210HFW_AU0053_2014-15_IIB_08,Drawal of  amount  by self  Cheques Rs. 27600/-,,F,IIB,,,,,,,,,RNR,RNI,,
401,H&FW,"District Surgeon, District Level Govt. Hospital,Shikaripura Shimoga", 2014-15,IX/IIB/2014-15,GSA,2210HFW_AU0053_2014-15_IIB_09,Non-maintenance of  Cash book  Rashtriya Swasthya Bima Yojane (RSBY).,,J,IIB,,,,,,,,,RNR,RNI,,
402,H&FW,"District Surgeon, District Level Govt. Hospital,Shikaripura Shimoga", 2014-15,X/IIB/2014-15,GSA,2210HFW_AU0053_2014-15_IIB_10,Non-working of cell counter.,,J,IIB,,,,,,,,,RNR,RNI,,
403,H&FW,"Medical Officer, General Hospital, Tiptur",2015-16,I/IIB/2000-03,GSA,2210HFW_AU0013_2000-03_IIB_01,"Non-recovery of Income-tax from M/s Shivashakthi Enterprises-Rs. 15,780/-",, B,IIB,,,06.07.2018,,,,06.07.2018,,R.N.R.,R.N.I.,,
404,H&FW,"Medical Officer, General Hospital, Tiptur",2015-16,X/IIB/2003-11,GSA,2210HFW_AU0013_2003-11_IIB_01,Unfruitful excess of Rs. 25 lakh- Trauma care Centre.,, E,IIB,,,06.07.2018,,,,06.07.2018,,R.N.R.,R.N.I.,,
405,H&FW,"Medical Officer, General Hospital, Tiptur",2015-16,I/IIB/2011-12 to 2012-13,GSA,2210HFW_AU0013_2011-13_IIB_01,Outstanding dues(Rs.94000/-) from Nursing college for availing clinical training facility,, B,IIB,,,06.07.2018,,,,06.07.2018,,R.N.R.,R.N.I.,,
406,H&FW,"Medical Officer, General Hospital, Tiptur",2015-16,VI/IIB/2013-14,GSA,2210HFW_AU0013_2013-14_IIB_01,Idle equipments.,,G,IIB,,,06.07.2018,,,,06.07.2018,,R.N.R.,R.N.I.,,
407,H&FW,"Medical Officer, General Hospital, Tiptur",2014-15,II/IIB/2014-15,GSA,2210HFW_AU0013_2014-15_IIB_01,"Avoidable payment of Power Factor Penalty – Rs. 4.22 lakh and Penalty of Rs. 63,270/-",,D,IIB,,,06.07.2018,,,,06.07.2018,,R.N.R.,R.N.I.,,
408,H&FW,"Medical Officer, General Hospital, Tiptur",2014-15,III/IIB/2014-15,GSA,2210HFW_AU0013_2014-15_IIB_02,Non reconciliation of  Cash Book with Bank Accounts.,,J,IIB,,,06.07.2018,,,,06.07.2018,,R.N.R.,R.N.I.,,
409,H&FW,"Medical Officer, General Hospital, Tiptur",2014-15,V/IIB/2014-15,GSA,2210HFW_AU0013_2014-15_IIB_03,Omission noticed in Service register. ,,J,IIB,,,06.07.2018,,,,06.07.2018,,R.N.R.,R.N.I.,,
410,H&FW,"Medical Officer, General Hospital, Tiptur",2014-15,VI/IIB/2014-15,GSA,2210HFW_AU0013_2014-15_IIB_04,Non-condemnation of unserviceable articles.,,J,IIB,,,06.07.2018,,,,06.07.2018,,R.N.R.,R.N.I.,,
411,H&FW,"Medical Officer, General Hospital, Tiptur",2015-16,I/IIB/2015-16,GSA,2210HFW_AU0013_2015-16_IIB_01,Non remittance of ‘User Charges’ into  the Consolidatted  Fund of the State – Rs. 15.93 lakh.,,J,IIB,,,06.07.2018,,,,06.07.2018,,R.N.R.,R.N.I.,,
412,H&FW,"Medical Officer, General Hospital, Tiptur",2015-16,II/IIB/2015-16,GSA,2210HFW_AU0013_2015-16_IIB_02,In adequacies noticed in maintenance of Cash Book.,,J,IIB,,,06.07.2018,,,,06.07.2018,,R.N.R.,R.N.I.,,
413,H&FW,"Medical Officer, General Hospital, Tiptur",2015-16,III/IIB/2015-16,GSA,2210HFW_AU0013_2015-16_IIB_03,"Reimbursement  of Medical bills:- Rs. 1,12,062/-",,J,IIB,,,06.07.2018,,,,06.07.2018,,R.N.R.,R.N.I.,,
414,H&FW,"Medical Officer, General Hospital, Tiptur",2015-16,IV/IIB/2015-16,GSA,2210HFW_AU0013_2015-16_IIB_04,Non-remittance of interest: Rs. 36346/- to  Government account.,,J,IIB,,,06.07.2018,,,,06.07.2018,,R.N.R.,R.N.I.,,
415,H&FW,"Medical Officer, General Hospital, Tiptur",2015-16,V/IIB/2015-16,GSA,2210HFW_AU0013_2015-16_IIB_05,Non-disposal of ‘Hypo’ solution.,,J,IIB,,,06.07.2018,,,,06.07.2018,,R.N.R.,R.N.I.,,
416,H&FW,"Medical Officer, General Hospital, Tiptur",2015-16,VI/IIB/2015-16,GSA,2210HFW_AU0013_2015-16_IIB_06,Non-repair of 300 MA X-ray equipment,,G,IIB,,,06.07.2018,,,,06.07.2018,,R.N.R.,R.N.I.,,
417,H&FW,"Medical Officer, General Hospital, Tiptur",2015-16,VII/IIB/2015-16,GSA,2210HFW_AU0013_2015-16_IIB_07,Non-reconciliation of Arogya Raksha Samiti Cash book (ARS) Cash book and Bank pass book.,,J,IIB,,,06.07.2018,,,,06.07.2018,,R.N.R.,R.N.I.,,
418,H&FW,"Medical Officer, General Hospital, Tiptur",2015-16,VIII/IIB/2015-16,GSA,2210HFW_AU0013_2015-16_IIB_08,Non-payment of  Minimum wages under ARS.,,F,IIB,,,06.07.2018,,,,06.07.2018,,R.N.R.,R.N.I.,,
419,H&FW,"Medical Officer, General Hospital, Tiptur",2015-16,IX/IIB/2015-16,GSA,2210HFW_AU0013_2015-16_IIB_09,Non-inclusion of name  of staff under Social Security Scheme working  under  NHM.,,J,IIB,,,06.07.2018,,,,06.07.2018,,R.N.R.,R.N.I.,,
420,H&FW,"Medical Officer, General Hospital, Tiptur",2015-16,X/IIB/2015-16,GSA,2210HFW_AU0013_2015-16_IIB_10,Release of payment to  contractors without ensuring monthly payment of EPF contribution by contractors.,,C,IIB,,,06.07.2018,,,,06.07.2018,,R.N.R.,R.N.I.,,
421,H&FW,"Medical Officer, General Hospital, Tiptur",2015-16,XI/IIB/2015-16,GSA,2210HFW_AU0013_2015-16_IIB_11,Non production of records.,,J,IIB,,,06.07.2018,,,,06.07.2018,,R.N.R.,R.N.I.,,
422,H&FW,"The O/O Gazzeted Assistant /Lay Secretary General Hospital, Jamakhandi, Bagalkot",2015-16,I/IIB/2006-07,GSA,2210HFW_AU0055_2006-07_IIB_01,Idle investment of Rs.047 lakh towards purchase/supply of physiotherapy equipment,, G,IIB,,,,,,,,,09.11.2017,09.11.2017,,
423,H&FW,"The O/O Gazzeted Assistant /Lay Secretary General Hospital, Jamakhandi, Bagalkot",2015-16,II/IIB/2012-13,GSA,2210HFW_AU0055_2012-13_IIB_01,Non updation of cash book and Non reconcilliation of Bank pass book,, J,IIB,,,,,,,,,09.11.2017,09.11.2017,,
424,H&FW,"The O/O Gazzeted Assistant /Lay Secretary General Hospital, Jamakhandi, Bagalkot",2015-16,III/IIB/2012-13,GSA,2210HFW_AU0055_2012-13_IIB_02,"Irregularities in service register in respect of Shri. Suresh Hanumanth Bistannavar, junior Lab Technician.",, J,IIB,,,,,,,,,09.11.2017,09.11.2017,,
425,H&FW,"The O/O Gazzeted Assistant /Lay Secretary General Hospital, Jamakhandi, Bagalkot",2015-16,,GSA,,,,G,IIB,,,,,,,,,09.11.2017,09.11.2017,,
426,H&FW,"The O/O Gazzeted Assistant /Lay Secretary General Hospital, Jamakhandi, Bagalkot",2015-16,V/IIB/2014-15,GSA,2210HFW_AU0055_2014-15_IIB_01,Non-remittance of Department receipts of Rs. 63728/-,,J,IIB,,,,,,,,,09.11.2017,09.11.2017,,
427,H&FW,"The O/O Gazzeted Assistant /Lay Secretary General Hospital, Jamakhandi, Bagalkot",2015-16,VI/IIB/2013-15,GSA,2210HFW_AU0055_2013-15_IIB_01,Non utilization of linen items issued by directorate office.,,J,IIB,,,,,,,,,09.11.2017,09.11.2017,,
428,H&FW,"The O/O Gazzeted Assistant /Lay Secretary General Hospital, Jamakhandi, Bagalkot",2015-16,VII/IIB/2013-15,GSA,2210HFW_AU0055_2013-15_IIB_02,Discrepancies noticed in the drug stock register.,,J,IIB,,,,,,,,,09.11.2017,09.11.2017,,
429,H&FW,"The O/O Gazzeted Assistant /Lay Secretary General Hospital, Jamakhandi, Bagalkot",2015-16,VIII/IIB/2013-15,GSA,2210HFW_AU0055_2013-15_IIB_03,Non reconciliation of  closing balance of Cash  book and bank pass book for the ARS Scheme  (Arogya Rakshana Samithi).,,J,IIB,,,,,,,,,09.11.2017,09.11.2017,,
430,H&FW,"The O/O Gazzeted Assistant /Lay Secretary General Hospital, Jamakhandi, Bagalkot",2015-16,I/IIB/2015-16,GSA,2210HFW_AU0055_2015-16_IIB_01,Irregular payment of House Rent Allowance to Doctors-Rs. 557893/-,,B,IIB,,,,,,,,,09.11.2017,09.11.2017,,
431,H&FW,"The O/O Gazzeted Assistant /Lay Secretary General Hospital, Jamakhandi, Bagalkot",2015-16,II/IIB/2015-16,GSA,2210HFW_AU0055_2015-16_IIB_02,"Unfruitful  expenditure  towards setting up of blood storage unit at General Hospital, Jamkhandi to the tune of Rs. 362636/- (3.62 lakh)",,E,IIB,,,,,,,,,09.11.2017,09.11.2017,,
432,H&FW,"The O/O Gazzeted Assistant /Lay Secretary General Hospital, Jamakhandi, Bagalkot",2015-16,III/IIB/2015-16,GSA,2210HFW_AU0055_2015-16_IIB_03,Non-remittance of user charges and clinical fee to Govt. account Rs. 26.39 lakh.,,J,IIB,,,,,,,,,09.11.2017,09.11.2017,,
433,H&FW,"The O/O Gazzeted Assistant /Lay Secretary General Hospital, Jamakhandi, Bagalkot",2015-16,IV/IIB/2015-16,GSA,2210HFW_AU0055_2015-16_IIB_04,NRHM Funds.,,I,IIB,,,,,,,,,09.11.2017,09.11.2017,,
434,H&FW,"The O/O Gazzeted Assistant /Lay Secretary General Hospital, Jamakhandi, Bagalkot",2015-16,V/IIB/2015-16,GSA,2210HFW_AU0055_2015-16_IIB_05,Split purchases to avoid tender  process.,,F,IIB,,,,,,,,,09.11.2017,09.11.2017,,
435,H&FW,"The O/O Gazzeted Assistant /Lay Secretary General Hospital, Jamakhandi, Bagalkot",2015-16,VI/IIB/2015-16,GSA,2210HFW_AU0055_2015-16_IIB_06,Non providing of diet to  inpatient and non-utilization of services of cook.,,I,IIB,,,,,,,,,09.11.2017,09.11.2017,,
436,H&FW,"The O/O Gazzeted Assistant /Lay Secretary General Hospital, Jamakhandi, Bagalkot",2015-16,VII/IIB/2015-16,GSA,2210HFW_AU0055_2015-16_IIB_07,Avoidable  payment of excess  demand charges and Power Factor (PF) Penalty Rs. 5.60 lakh,,D,IIB,,,,,,,,,09.11.2017,09.11.2017,,
437,H&FW,"The O/O Gazzeted Assistant /Lay Secretary General Hospital, Jamakhandi, Bagalkot",2015-16,VIII/IIB/2015-16,GSA,2210HFW_AU0055_2015-16_IIB_08,Idle Generator set worth Rs. 3.97 lakh,,G,IIB,,,,,,,,,09.11.2017,09.11.2017,,
438,H&FW,"The O/O Gazzeted Assistant /Lay Secretary General Hospital, Jamakhandi, Bagalkot",2015-16,IX/IIB/2015-16,GSA,2210HFW_AU0055_2015-16_IIB_09,Non-reconciliation of  Bank Account: Arogva Raksha Samithi.,,J,IIB,,,,,,,,,09.11.2017,09.11.2017,,
439,H&FW,"The O/O Gazzeted Assistant /Lay Secretary General Hospital, Jamakhandi, Bagalkot",2015-16,X/IIB/2015-16,GSA,2210HFW_AU0055_2015-16_IIB_10,Annual physical verification of  stock not conducted.,,J,IIB,,,,,,,,,09.11.2017,09.11.2017,,
440,H&FW,"The District Malaria Officer, Belgaum ",2003-04,VI/IIB/2003-04,GSA,2210HFW_AU0102_2003-04_IIB_01,Incorrect sanction of posts,, F,IIB,,,,,,,,,8/28/2004,10/12/2004,,
441,H&FW,"The District Malaria Officer, Kolar",2005-2006,I/IIB/99-2000,GSA,2210HFW_AU0034_1999-2000_IIB_01,Non-submission of NDC bills for the years 94-95 to 99-2000,, J,IIB,,,,,,,,,7/11/2013,Rejoined issued not found,,
442,H&FW,"The District Malaria Officer, Kolar",2005-2006,V/IIB/99-2000,GSA,2210HFW_AU0034_1999-2000_IIB_02,"Irregular drawal of   fuel repair charges-Rs..18,075/-",, E,IIB,,,,,,,,,7/11/2013,Rejoined issued not found,,
